id,full_name,last_name
1629015,Zhaire Smith,Smith
1628372,Dennis Smith Jr.,Smith Jr.
1631095,Jabari Smith Jr.,Smith Jr.
22,Rik Smits,Smits
1091,Mike Smrek,Smrek
78212,Joe Smyth,Smyth
1630270,Xavier Sneed,Sneed
203503,Tony Snell,Snell
727,Eric Snow,Snow
78213,Dick Snyder,Snyder
2745,Kirk Snyder,Snyder
78214,George Sobek,Sobek
78215,Ricky Sobers,Sobers
78216,Ron Sobie,Sobie
1631110,Jeremy Sochan,Sochan
78217,Mike Sojourner,Sojourner
2226,Will Solomon,Solomon
78219,Willie Somerset,Somerset
2443,Darius Songaila,Songaila
78220,Dave Sorenson,Sorenson
203480,James Southerland,Southerland
78221,Gino Sovran,Sovran
2776,Pape Sow,Sow
1629034,Ray Spalding,Spalding
78222,Jim Spanarkel,Spanarkel
2779,Vassilis Spanoulis,Spanoulis
78223,Guy Sparrow,Sparrow
600009,Rory Sparrow,Sparrow
78225,Odie Spears,Spears
78226,Art Spector,Spector
201578,Marreese Speights,Speights
1629016,Omari Spellman,Spellman
78227,Andre Spencer,Spencer
771,Elmore Spencer,Spencer
280,Felton Spencer,Spencer
78230,Lou Spicer,Spicer
78231,Craig Spitzer,Spitzer
201168,Tiago Splitter,Splitter
78232,Art Spoelstra,Spoelstra
84,Latrell Sprewell,Sprewell
78233,Larry Spriggs,Spriggs
1630531,Jaden Springer,Springer
78234,Jim Springer,Springer
78235,Jim Spruill,Spruill
1756,Ryan Stack,Stack
711,Jerry Stackhouse,Stackhouse
78237,Kevin Stacom,Stacom
78238,Dave Stallworth,Stallworth
78239,Isaac Stallworth,Stallworth
78240,Ed Stanczak,Stanczak
1630199,Cassius Stanley,Stanley
78241,Terence Stansbury,Stansbury
317,John Starks,Starks
78243,Keith Starr,Starr
203917,Nik Stauskas,Stauskas
78244,Larry Staverman,Staverman
78245,Larry Steele,Steele
1099,Matt Steigenga,Steigenga
1735,Vladimir Stepania,Stepania
203474,DJ Stephens,Stephens
78247,Everette Stephens,Stephens
78249,Jack Stephens,Stephens
1086,Joe Stephens,Stephens
202362,Lance Stephenson,Stephenson
1627293,Alex Stepheson,Stepheson
78250,Brook Steppe,Steppe
78251,Barry Stevens,Stevens
1630205,Lamar Stevens,Stevens
78252,Wayne Stevens,Stevens
2052,DeShawn Stevenson,Stevenson
1630597,DJ Stewart,Stewart
78253,Dennis Stewart,Stewart
1630191,Isaiah Stewart,Stewart
1529,Kebu Stewart,Stewart
1125,Larry Stewart,Stewart
1565,Michael Stewart,Stewart
78256,Norm Stewart,Stewart
201880,Greg Stiemsma,Stiemsma
78257,Steve Stipanovich,Stipanovich
179,Bryant Stith,Stith
78259,Sam Stith,Stith
78260,Tom Stith,Stith
78261,Alex Stivrins,Stivrins
204065,David Stockton,Stockton
304,John Stockton,Stockton
978,Peja Stojakovic,Stojakovic
1055,Ed Stokes,Stokes
78264,Greg Stokes,Stokes
203950,Jarnell Stokes,Stokes
600016,Maurice Stokes,Stokes
78266,Art Stolkey,Stolkey
1627754,Diamond Stone,Stone
202933,Julyan Stone,Stone
2852,Awvee Storey,Storey
757,Damon Stoudamire,Stoudamire
101136,Salim Stoudamire,Stoudamire
2405,Amar'e Stoudemire,Stoudemire
78267,Paul Stovall,Stovall
201199,DJ Strawberry,Strawberry
78268,Joe Strawder,Strawder
78269,Bill Stricker,Stricker
1065,Erick Strickland,Strickland
1110,Mark Strickland,Strickland
393,Rod Strickland,Strickland
78270,Roger Strickland,Strickland
78271,John Stroeder,Stroeder
400,Derek Strong,Strong
78273,Lamont Strothers,Strothers
78274,John Stroud,Stroud
1629622,Max Strus,Strus
201155,Rodney Stuckey,Stuckey
78275,Gene Stump,Stump
78276,Stan Stutz,Stutz
1630591,Jalen Suggs,Suggs
78277,Gary Suiter,Suiter
203096,Jared Sullinger,Sullinger
201969,DaJuan Summers,Summers
1628410,Edmond Sumner,Sumner
78654,Barry Sumpter,Sumpter
201180,Sun Yue,Sun Yue
78278,Don Sunderlage,Sunderlage
1743,Bruno Sundov,Sundov
78279,Jon Sundvold,Sundvold
682,Bob Sura,Sura
78280,Dick Surhoff,Surhoff
78281,Dane Suttle,Suttle
357,Greg Sutton,Sutton
78283,Bennie Swain,Swain
1628403,Caleb Swanigan,Swanigan
78284,Norm Swanson,Swanson
78285,Dan Swartz,Swartz
2552,Michael Sweetney,Sweetney
1631306,Cole Swider,Swider
2741,Robert Swift,Swift
2031,Stromile Swift,Swift
78286,Aaron Swinson,Swinson
1628591,Craig Sword,Sword
202377,Pape Sy,Sy
78287,Wallace Sydnor,Sydnor
1626208,Keifer Sykes,Sykes
1132,Larry Sykes,Sykes
1136,Brett Szabo,Szabo
1887,Wally Szczerbiak,Szczerbiak
440,Zan Tabak,Tabak
2657,Yuta Tabuse,Tabuse
101147,Chris Taft,Taft
78291,Sid Tannenbaum,Tannenbaum
1434,Dragan Tarlac,Tarlac
78293,Roy Tarpley,Tarpley
1630256,Jae'Sean Tate,Tate
78294,Earl Tatum,Tatum
1628369,Jayson Tatum,Tatum
204002,Edy Tavares,Tavares
78295,Anthony Taylor,Taylor
78296,Brian Taylor,Taylor
101182,Donell Taylor,Taylor
78298,Fred Taylor,Taylor
1627819,Isaiah Taylor,Taylor
78297,Jay Taylor,Taylor
78299,Jeff Taylor,Taylor
203106,Jeffery Taylor,Taylor
201966,Jermaine Taylor,Taylor
1511,Johnny Taylor,Taylor
78301,Leonard Taylor,Taylor
1508,Maurice Taylor,Taylor
201446,Mike Taylor,Taylor
78302,Roland Taylor,Taylor
1630678,Terry Taylor,Taylor
203116,Tyshawn Taylor,Taylor
78303,Vince Taylor,Taylor
78304,Terry Teagle,Teagle
201952,Jeff Teague,Teague
203104,Marquis Teague,Teague
203141,Mirza Teletovic,Teletovic
2742,Sebastian Telfair,Telfair
202066,Garrett Temple,Temple
1628462,Milos Teodosic,Teodosic
78305,Ira Terrell,Terrell
1629123,Jared Terrell,Terrell
78307,Carlos Terry,Terry
78306,Chuck Terry,Terry
78308,Claude Terry,Terry
1631207,Dalen Terry,Terry
1629150,Emanuel Terry,Terry
1891,Jason Terry,Terry
1630179,Tyrell Terry,Terry
1630257,Jon Teske,Teske
201934,Hasheem Thabeet,Thabeet
78309,Tom Thacker,Thacker
1628464,Daniel Theis,Theis
78310,Reggie Theus,Theus
78311,Peter Thibeaux,Thibeaux
78312,Bill Thieben,Thieben
78313,Justus Thigpen,Thigpen
78314,David Thirdkill,Thirdkill
203519,Adonis Thomas,Thomas
2873,Billy Thomas,Thomas
1630271,Brodric Thomas,Thomas
1630560,Cam Thomas,Thomas
1063,Carl Thomas,Thomas
78316,Charles Thomas,Thomas
2041,Etan Thomas,Thomas
78317,Irving Thomas,Thomas
202738,Isaiah Thomas,Thomas
78318,Isiah Thomas,Thomas
1975,Jamel Thomas,Thomas
2839,James Thomas,Thomas
78320,Jim Thomas,Thomas
78321,Joe Thomas,Thomas
1519,John Thomas,Thomas
1903,Kenny Thomas,Thomas
1629017,Khyri Thomas,Thomas
703,Kurt Thomas,Thomas
202498,Lance Thomas,Thomas
202952,Malcolm Thomas,Thomas
1629744,Matt Thomas,Thomas
78322,Terry Thomas,Thomas
1501,Tim Thomas,Thomas
200748,Tyrus Thomas,Thomas
202717,Trey Thompkins,Thompkins
78323,Bernard Thompson,Thompson
1631,Billy Thompson,Thompson
240,Brooks Thompson,Thompson
78325,Corny Thompson,Thompson
78326,David Thompson,Thompson
101159,Dijon Thompson,Thompson
78327,George Thompson,Thompson
203138,Hollis Thompson,Thompson
201574,Jason Thompson,Thompson
78328,John Thompson,Thompson
78329,Kevin Thompson,Thompson
202691,Klay Thompson,Thompson
78,LaSalle Thompson,Thompson
78331,Mychal Thompson,Thompson
202814,Mychel Thompson,Thompson
78332,Paul Thompson,Thompson
78333,Stephen Thompson,Thompson
202684,Tristan Thompson,Thompson
1630550,JT Thor,Thor
78335,Rod Thorn,Thorn
201154,Al Thornton,Thornton
738,Bob Thornton,Thornton
201977,Marcus Thornton,Thornton
1628414,Sindarius Thornwell,Thornwell
901,Otis Thorpe,Thorpe
9,Sedale Threatt,Threatt
600001,Nate Thurmond,Thurmond
78340,Mel Thurston,Thurston
1629680,Matisse Thybulle,Thybulle
78341,Howard Tidrick,Tidrick
78342,Dan Tieman,Tieman
1629681,Killian Tillie,Tillie
78343,Darren Tillis,Tillis
1630214,Xavier Tillman,Tillman
78344,Jack Tingle,Tingle
2224,Jamaal Tinsley,Tinsley
47,Wayman Tisdale,Tisdale
1627861,Mike Tobey,Tobey
1630225,Isaiah Todd,Todd
78346,Marko Todorovich,Todorovich
78348,Ray Tolbert,Tolbert
78347,Tom Tolbert,Tolbert
201229,Anthony Tolliver,Tolliver
78349,Dean Tolson,Tolson
78350,Rudy Tomjanovich,Tomjanovich
78351,Andrew Toney,Toney
78352,Sedric Toney,Toney
78353,Andy Tonkovich,Tonkovich
342,Andy Toolson,Toolson
78355,Jack Toomay,Toomay
78356,Bernard Toone,Toone
1630167,Obi Toppin,Toppin
78357,Irv Torgoff,Torgoff
78358,Gene Tormohlen,Tormohlen
2351,Oscar Torres,Torres
1629308,Juan Toscano-Anderson,Toscano-Anderson
78359,Bill Tosheff,Tosheff
78360,Bob Tough,Tough
1626253,Axel Toupane,Toupane
78361,Monte Towe,Towe
700,Keith Tower,Tower
78363,William Towery,Towery
78364,Linton Townes,Townes
1626157,Karl-Anthony Towns,Towns
78365,Raymond Townsend,Townsend
78366,George Trapp,Trapp
78367,John Trapp,Trapp
1714,Robert Traylor,Traylor
718,Gary Trent,Trent
1629018,Gary Trent Jr.,Trent Jr.
2244,Jeff Trepagnier,Trepagnier
78651,John Tresvant,Tresvant
1629019,Allonzo Trier,Trier
78368,Dick Triptow,Triptow
78369,Kelly Tripucka,Tripucka
2456,Cezary Trybanski,Trybanski
2054,Jake Tsakalidis,Tsakalidis
78370,John Tschogl,Tschogl
78371,Lou Tsioropoulos,Tsioropoulos
2401,Nikoloz Tskitishvili,Tskitishvili
78372,Al Tucker,Tucker
201169,Alando Tucker,Tucker
141,Anthony Tucker,Tucker
78374,Jim Tucker,Tucker
200782,P.J. Tucker,Tucker
1629730,Rayjon Tucker,Tucker
78375,Trent Tucker,Tucker
101142,Ronny Turiaf,Turiaf
1726,Mirsad Turkcan,Turkcan
2045,Hedo Turkoglu,Turkoglu
78377,Andre Turner,Turner
78385,Bill Turner,Turner
78378,Elston Turner,Turner
202323,Evan Turner,Turner
78379,Henry Turner,Turner
