SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,PLAYOFFS,JOKIC_PTS,JOKIC_REB,JOKIC_AST,MURRAY_PTS,MURRAY_REB,MURRAY_AST,JOKIC_MURRAY_STARTERS,REST_PTS,REST_REB,REST_AST
22022,1610612743,DEN,Denver Nuggets,0022201063,2023-03-19,DEN @ BKN,W,239,108,42,80,0.525,12,23,0.522,12,13,0.923,6,34,40,31,5,3,16,17,6.0,0,22,17,10,25,1,8,1,61,22,13
22022,1610612743,DEN,Denver Nuggets,0022201083,2023-03-22,DEN @ WAS,W,242,118,42,83,0.506,15,32,0.469,19,21,0.905,11,30,41,28,7,2,10,18,14.0,0,31,12,7,17,6,8,1,70,23,13
22022,1610612743,DEN,Denver Nuggets,0022201109,2023-03-25,DEN vs. MIL,W,240,129,47,89,0.528,15,36,0.417,20,28,0.714,7,41,48,28,4,3,10,18,23.0,0,31,6,11,26,6,9,1,72,36,8
22022,1610612743,DEN,Denver Nuggets,0022201126,2023-03-27,DEN vs. PHI,W,241,116,43,85,0.506,11,32,0.344,19,22,0.864,10,32,42,34,8,4,12,16,5.0,0,25,17,12,19,5,7,1,72,20,15
22022,1610612743,DEN,Denver Nuggets,0022201183,2023-04-04,DEN @ HOU,L,240,103,41,87,0.471,11,36,0.306,10,18,0.556,13,34,47,26,9,13,20,18,-21.0,0,14,10,4,2,0,4,1,87,37,18
22022,1610612743,DEN,Denver Nuggets,0022201213,2023-04-08,DEN @ UTA,L,240,114,41,90,0.456,15,46,0.326,17,24,0.708,5,36,41,32,7,9,14,20,-4.0,0,6,10,10,20,4,5,1,88,27,17
42022,1610612743,DEN,Denver Nuggets,0042200141,2023-04-16,DEN vs. MIN,W,237,109,41,90,0.456,16,39,0.41,11,17,0.647,11,43,54,24,6,4,10,20,29.0,1,13,14,6,24,8,8,1,72,32,10
42022,1610612743,DEN,Denver Nuggets,0042200142,2023-04-19,DEN vs. MIN,W,240,122,46,85,0.541,10,22,0.455,20,25,0.8,9,27,36,26,6,1,10,25,9.0,1,27,9,9,40,3,5,1,55,24,12
42022,1610612743,DEN,Denver Nuggets,0042200143,2023-04-21,DEN @ MIN,W,241,120,48,84,0.571,13,32,0.406,11,13,0.846,5,35,40,32,8,4,14,26,9.0,1,20,11,12,18,6,9,1,82,23,11
42022,1610612743,DEN,Denver Nuggets,0042200144,2023-04-23,DEN @ MIN,L,265,108,42,95,0.442,12,35,0.343,12,18,0.667,10,37,47,21,6,5,11,23,-6.0,1,43,11,6,19,7,5,1,46,29,10
